  x    Q2      F_2     stat syst 
.218  3.070  .26169   .023 .011 
.258  3.630  .26169   .023 .011 
.298  4.190  .26169   .023 .011 
.338  4.760  .26169   .023 .011 
.378  5.320  .26169   .023 .011 
.418  5.880  .26169   .023 .011 
.458  6.450  .26169   .023 .011 
.498  7.010  .26169   .023 .011 
.538  7.570  .26169   .023 .011 
.578  8.130  .26169   .023 .011 
.618  8.700  .26169   .023 .011 
.658  9.260  .26169   .023 .011 
.698  9.820  .26169   .023 .011 
.738 10.390  .26169   .023 .011 
.778 10.950  .26169   .023 .011 
.818 11.820  .26169   .023 .011 
